indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
LENGTH_HEIGHT_FOR_AGE,MALE,24,1,87.1161,0.03507,78,81,84.1,87.1,90.2,93.2,96.3
LENGTH_HEIGHT_FOR_AGE,MALE,25,1,87.972,0.03542,78.6,81.7,84.9,88,91.1,94.2,97.3
LENGTH_HEIGHT_FOR_AGE,MALE,26,1,88.8065,0.03576,79.3,82.5,85.6,88.8,92,95.2,98.3
LENGTH_HEIGHT_FOR_AGE,MALE,27,1,89.6197,0.0361,79.9,83.1,86.4,89.6,92.9,96.1,99.3
LENGTH_HEIGHT_FOR_AGE,MALE,28,1,90.412,0.03642,80.5,83.8,87.1,90.4,93.7,97,100.3
LENGTH_HEIGHT_FOR_AGE,MALE,29,1,91.1828,0.03674,81.1,84.5,87.8,91.2,94.5,97.9,101.2
LENGTH_HEIGHT_FOR_AGE,MALE,30,1,91.9327,0.03704,81.7,85.1,88.5,91.9,95.3,98.7,102.1
LENGTH_HEIGHT_FOR_AGE,MALE,31,1,92.6631,0.03733,82.3,85.7,89.2,92.7,96.1,99.6,103
LENGTH_HEIGHT_FOR_AGE,MALE,32,1,93.3753,0.03761,82.8,86.4,89.9,93.4,96.9,100.4,103.9
LENGTH_HEIGHT_FOR_AGE,MALE,33,1,94.0711,0.03787,83.4,86.9,90.5,94.1,97.6,101.2,104.8
LENGTH_HEIGHT_FOR_AGE,MALE,34,1,94.7532,0.03812,83.9,87.5,91.1,94.8,98.4,102,105.6
LENGTH_HEIGHT_FOR_AGE,MALE,35,1,95.4236,0.03836,84.4,88.1,91.8,95.4,99.1,102.7,106.4
LENGTH_HEIGHT_FOR_AGE,MALE,36,1,96.0835,0.03858,85,88.7,92.4,96.1,99.8,103.5,107.2
LENGTH_HEIGHT_FOR_AGE,MALE,37,1,96.7337,0.03879,85.5,89.2,93,96.7,100.5,104.2,108
LENGTH_HEIGHT_FOR_AGE,MALE,38,1,97.3749,0.039,86,89.8,93.6,97.4,101.2,105,108.8
LENGTH_HEIGHT_FOR_AGE,MALE,39,1,98.0073,0.03919,86.5,90.3,94.2,98,101.8,105.7,109.5
LENGTH_HEIGHT_FOR_AGE,MALE,40,1,98.631,0.03937,87,90.9,94.7,98.6,102.5,106.4,110.3
LENGTH_HEIGHT_FOR_AGE,MALE,41,1,99.2459,0.03954,87.5,91.4,95.3,99.2,103.2,107.1,111
LENGTH_HEIGHT_FOR_AGE,MALE,42,1,99.8515,0.03971,88,91.9,95.9,99.9,103.8,107.8,111.7
LENGTH_HEIGHT_FOR_AGE,MALE,43,1,100.4485,0.03986,88.4,92.4,96.4,100.4,104.5,108.5,112.5
LENGTH_HEIGHT_FOR_AGE,MALE,44,1,101.0374,0.04002,88.9,93,97,101,105.1,109.1,113.2
LENGTH_HEIGHT_FOR_AGE,MALE,45,1,101.6186,0.04016,89.4,93.5,97.5,101.6,105.7,109.8,113.9
LENGTH_HEIGHT_FOR_AGE,MALE,46,1,102.1933,0.04031,89.8,94,98.1,102.2,106.3,110.4,114.6
LENGTH_HEIGHT_FOR_AGE,MALE,47,1,102.7625,0.04045,90.3,94.4,98.6,102.8,106.9,111.1,115.2
LENGTH_HEIGHT_FOR_AGE,MALE,48,1,103.3273,0.04059,90.7,94.9,99.1,103.3,107.5,111.7,115.9
LENGTH_HEIGHT_FOR_AGE,MALE,49,1,103.8886,0.04073,91.2,95.4,99.7,103.9,108.1,112.4,116.6
